x,t=steady
5.774646312150348137e+01,1.537558947974938528e-01
5.779995195640727701e+01,1.536667467393207365e-01
5.785941604935504756e+01,1.535676399177415552e-01
5.790895985868322526e+01,1.534850669021943226e-01
5.800813531918594634e+01,1.533197744680230290e-01
5.803976988267664439e+01,1.532670501955385456e-01
5.807242467187518287e+01,1.532126255468746756e-01
5.809414275013612183e+01,1.531764287497729693e-01
5.913627100231689582e+01,1.514395483294720401e-01
6.328744679212046265e+01,1.445209220131326022e-01
6.333333333333344228e+01,1.444444444444437647e-01
6.406401227463859982e+01,1.432266462089357428e-01
6.446058713471968815e+01,1.425656881087999928e-01
6.449766062255751820e+01,1.425038989624041463e-01
6.522186827856705804e+01,1.412968862023879502e-01
6.533586388221549157e+01,1.411068935296407034e-01
6.537952324901966961e+01,1.410341279183005836e-01
6.542579156742483804e+01,1.409570140542914796e-01
6.598377043311529633e+01,1.400270492781410525e-01
6.601078364155299028e+01,1.399820272640779628e-01
6.606422574894519073e+01,1.398929570850911408e-01
6.607764953617689230e+01,1.398705841063714872e-01
6.619583067292673206e+01,1.396736155451220596e-01
6.626046807661143134e+01,1.395658865389807490e-01
7.000000000000017053e+01,1.333333333333326376e-01
7.008080386308878929e+01,1.331986602281854115e-01
7.109601841195789973e+01,1.315066359800703411e-01
7.168175926791886354e+01,1.305304012201347896e-01
7.177213258081519598e+01,1.303797790319744521e-01
7.199312011682464174e+01,1.300114664719589086e-01
7.320779278822502079e+01,1.279870120196245908e-01
7.339156333138789989e+01,1.276807277810200758e-01
7.367389471539607371e+01,1.272101754743397151e-01
7.384899693941220278e+01,1.269183384343126331e-01
7.402181845497291590e+01,1.266303025750452060e-01
7.426738393264976423e+01,1.262210267789168894e-01
7.436615940875915953e+01,1.260564009854011069e-01
7.445985738161292034e+01,1.259002376973116233e-01
7.666666666666688457e+01,1.222222222222213994e-01
7.725488820443494831e+01,1.212418529926083816e-01
7.812802454927719964e+01,1.197866257512047172e-01
7.888934329740725104e+01,1.185177611709875845e-01
7.958414053676517597e+01,1.173597657720579224e-01
7.979595086969008833e+01,1.170067485505163207e-01
8.107403078968252430e+01,1.148766153505288573e-01
8.133287867019807038e+01,1.144452022163365557e-01
8.152637086240621045e+01,1.141227152293228658e-01
8.224681077194925649e+01,1.129219820467510793e-01
8.266320496941814611e+01,1.122279917176362690e-01
8.330642859093104846e+01,1.111559523484480366e-01
8.333333333333362702e+01,1.111111111111103139e-01
8.447401978272642964e+01,1.092099670287891705e-01
8.516003068659654218e+01,1.080666155223391350e-01
8.606165369081026029e+01,1.065639105153158295e-01
8.728589117854271251e+01,1.045235147024287659e-01
8.851724145272801536e+01,1.024712642454532197e-01
8.893547436220144675e+01,1.017742093963306949e-01
8.906299974182292090e+01,1.015616670969616137e-01
8.996263959231083618e+01,1.000622673461485090e-01
9.000000000000039790e+01,9.999999999999913125e-02
9.116049344691595024e+01,9.806584425513990844e-02
9.176974327627785044e+01,9.705042787287020134e-02
9.219203682391588472e+01,9.634660529347348346e-02
9.320511761952290897e+01,9.465813730079493393e-02
9.345786855910898794e+01,9.423688573481815711e-02
9.499669419582959051e+01,9.167217634028389239e-02
9.565738754779096098e+01,9.057102075368164695e-02
9.666666666666715457e+01,8.888888888888783757e-02
9.717924277928432275e+01,8.803459536785923634e-02
9.908661254492027126e+01,8.485564575846613056e-02
9.914264255021694794e+01,8.476226241630493985e-02
9.922404296123519885e+01,8.462659506460791514e-02
9.983592932377777629e+01,8.360678446037020373e-02
1.002980927726434004e+02,8.283651204559415449e-02
1.025136589851501867e+02,7.914390169141619080e-02
1.028201872668084462e+02,7.863302122198581601e-02
1.030209956673002551e+02,7.829834055449942654e-02
1.033333333333339112e+02,7.777777777777661328e-02
1.051073080086244573e+02,7.482115331895906885e-02
1.062560490985545130e+02,7.290658483574245785e-02
1.065259228010963426e+02,7.245679533150603535e-02
1.070341701836815389e+02,7.160971636053056755e-02
1.072868269319365169e+02,7.118862178010555708e-02
1.100000000000004832e+02,6.666666666666570817e-02
1.100695846516598237e+02,6.655069224723356158e-02
1.101531784663198579e+02,6.641136922280004018e-02
1.104843542094655930e+02,6.585940965089054355e-02
1.109841864908820952e+02,6.502635584852971273e-02
1.124138300196129450e+02,6.264361663397828572e-02
1.124885034297913933e+02,6.251916095034754095e-02
1.132880552358735997e+02,6.118657460687725730e-02
1.140646404705133676e+02,5.989226588247759803e-02
1.141931280548188425e+02,5.967811990863518962e-02
1.152525556108479634e+02,5.791240731525326702e-02
1.166666666666669983e+02,5.555555555555485858e-02
1.174465730994259900e+02,5.425571150095665623e-02
1.186223910921078328e+02,5.229601484648684073e-02
1.188585951906741371e+02,5.190234134887632134e-02
1.203200613731926722e+02,4.946656437801216777e-02
1.204964376192902336e+02,4.917260396784949722e-02
1.211154666107410236e+02,4.814088898209816642e-02
1.216361351408163358e+02,4.727310809863933400e-02
1.217232930901890171e+02,4.712784484968486620e-02
1.222705787627584897e+02,4.621570206206905562e-02
1.224366914414440259e+02,4.593884759759321590e-02
1.233333333333334991e+02,4.444444444444406450e-02
1.241584747896145586e+02,4.306920868397562385e-02
1.249274417963064963e+02,4.178759700615575917e-02
1.260780329236670809e+02,3.986994512722141781e-02
1.270576772428057239e+02,3.823720459532371774e-02
1.273520675105117448e+02,3.774655414914704354e-02
1.281978339315826645e+02,3.633694344736215776e-02
1.300000000000000853e+02,3.333333333333309001e-02
1.304330271134328711e+02,3.261162147761181157e-02
1.305648341803851906e+02,3.239194303269130049e-02
1.311235659123419737e+02,3.146072347942996394e-02
1.315544059694373686e+02,3.074265671760430599e-02
1.319754859634231536e+02,3.004085672762802153e-02
1.320203182783875206e+02,2.996613620268744754e-02
1.320436453008674675e+02,2.992725783188748823e-02
1.327887467964712016e+02,2.868542200588125243e-02
1.331035449709568752e+02,2.816075838173847518e-02
1.339428985918476940e+02,2.676183568025376769e-02
1.343840736478310305e+02,2.602654392028157931e-02
1.351304774777783848e+02,2.478253753703597850e-02
1.353811887493435506e+02,2.436468541776069113e-02
1.366666666666667425e+02,2.222222222222203572e-02
1.401977822168315981e+02,1.633702963861395976e-02
1.403989339973867629e+02,1.600177667102202148e-02
1.404177790614475612e+02,1.597036823092069791e-02
1.406837185008208451e+02,1.552713583196521294e-02
1.407055380102544007e+02,1.549076998290929187e-02
1.409073395699564912e+02,1.515443405007247703e-02
1.410080188269942596e+02,1.498663528834287377e-02
1.411869529878078140e+02,1.468841168698693106e-02
1.414160797851501457e+02,1.430653369141640478e-02
1.418786267268568508e+02,1.353562212190521571e-02
1.419616266199779204e+02,1.339728896670344324e-02
1.421265683783328484e+02,1.312238603611188756e-02
1.426508589392557553e+02,1.224856843457370649e-02
1.433333333333333712e+02,1.111111111111101439e-02
1.500000000000000000e+02,3.805617351755126998e-18
1.500000000000000000e+02,-4.437046058925410189e-19
1.500000000000000000e+02,-1.933139466105716563e-18
1.500000000000000000e+02,2.687818440673714401e-20
1.500000000000000000e+02,4.300874599855544977e-18
1.500000000000000000e+02,3.100677198978006925e-18
1.500000000000000000e+02,-1.956231719932702513e-18
1.500000000000000000e+02,-2.106692169027628586e-18
1.500000000000000000e+02,-2.207268216271739595e-18
1.500000000000000000e+02,3.073980191042339757e-19
1.500000000000000000e+02,5.960888751106688362e-19
1.500000000000000000e+02,-4.378732482648090128e-19
1.500000000000000000e+02,-8.923321908406324195e-19
1.500000000000000000e+02,-6.148675938547971640e-18
1.500000000000000000e+02,4.358167850060413750e-19
1.500000000000000000e+02,-1.020662922383644704e-18
