x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s,t=5.00e+00s,t=1.00e+01s
5.156250000000000243e-04,-5.811042839185445241e-33,-4.602479390407476621e-31,8.047418928865539262e-30,-1.633299412572853221e-29,2.646578394598793095e-28,-2.400107879002618754e-26
5.234375000000000312e-04,1.081768337117013062e-33,8.883954940126188983e-32,-1.335175994245400618e-30,3.628431946949602504e-30,-3.459266384895584273e-29,-3.840315906164459801e-27
5.312500000000000382e-04,-2.013306810894688396e-34,-1.713298417513254796e-32,1.927854130106540060e-31,-7.458491851456220628e-31,-1.539389731975669650e-30,1.800004255525657528e-27
5.390625000000000451e-04,3.746142849174887350e-35,3.301301229626056032e-33,-1.948930452767185526e-32,1.404847976743184192e-31,2.130675789604885115e-30,-1.714701727755821498e-28
5.468750000000000520e-04,-6.968838541058479128e-36,-6.355875578164524987e-34,-8.234544672561256350e-34,-2.349298698033524409e-32,-6.120755739042659112e-31,-4.783285427975119254e-29
5.546875000000000590e-04,1.296107598656883190e-36,1.222688137400776943e-34,1.302435110208578180e-33,3.174642561919455115e-33,9.684826382379957805e-32,1.724967053883259994e-29
5.625000000000000659e-04,-2.410066672899840766e-37,-2.350268508088361265e-35,-5.289101024884416388e-34,-2.119522509495372578e-34,-2.434201755363416357e-33,-1.314456810612418896e-30
5.703124999999999644e-04,4.480505796858371249e-38,4.514312024245361614e-36,1.680309075652292965e-34,-6.347149385205315970e-35,-3.805674001261781938e-33,-5.134497709308057412e-31
5.781249999999999714e-04,-8.327939083255489497e-39,-8.664595567788771533e-37,-4.783665786349687732e-35,3.725012141699393021e-35,1.366607969054290177e-33,1.668022821943213287e-31
5.859374999999999783e-04,1.547615101410844123e-39,1.661871668043273052e-37,1.278099129068919559e-35,-1.278555408858488453e-35,-2.704064568936366520e-34,-1.190209490616983008e-32
5.937499999999999853e-04,-2.875448583513874686e-40,-3.185286615933640243e-38,-3.274276934001621593e-36,3.644154510027804575e-36,2.471024881790167385e-35,-5.056524241401448648e-33
6.015624999999999922e-04,5.341554723220636847e-41,6.101130959126799598e-39,8.138135859211215161e-37,-9.347975276496528662e-37,4.638688472386285438e-36,1.644701571210067656e-33
6.093749999999999991e-04,-9.920904762670826613e-42,-1.167861994435094611e-39,-1.976582579703291513e-37,2.224216003511299944e-37,-2.732317359668534939e-36,-1.313983375140345039e-34
6.171875000000000061e-04,1.842291671365001901e-42,2.234087734294912824e-40,4.713472107434620148e-38,-4.970445773641868859e-38,6.985245845961666739e-37,-4.602977746898618518e-35
6.250000000000000130e-04,-3.420510120380645230e-43,-4.271144444548853724e-41,-1.107220269847596623e-38,1.046582615207909430e-38,-1.057793062182967771e-37,1.644836737838888753e-35
6.328125000000000199e-04,6.349660457554458203e-44,8.160769454177432323e-42,2.568235552507417378e-39,-2.067327321303415543e-39,2.563188198561864263e-39,-1.651161184104294061e-36
6.406250000000000269e-04,-1.178525174226090723e-44,-1.558360513480728533e-42,-5.892868656642717333e-40,3.775005103792028093e-40,4.179224273893314081e-39,-3.745727680683496394e-37
6.484375000000000338e-04,2.187043402746722839e-45,2.974141296925130889e-43,1.339418715841924494e-40,-6.145289651607196502e-41,-1.552961281327065806e-39,1.638761091256582130e-37
6.562500000000000408e-04,-4.057956093979327110e-46,-5.673076867984254568e-44,-3.019149582655209034e-41,8.032711298060752087e-42,3.337698739481239436e-40,-2.153215760045415117e-38
6.640625000000000477e-04,7.528173932417761300e-47,1.081547125884740340e-44,6.754926100777130708e-42,-4.647618915609354094e-43,-4.082541673502586503e-41,-2.417780179978549941e-39
6.718750000000000546e-04,-1.396384103883879423e-47,-2.060857551561589287e-45,-1.501220111930221418e-42,-1.900949299267309784e-43,-1.842226423506479695e-42,1.580775380095657708e-39
6.796875000000000616e-04,2.589722291027207439e-48,3.924931065898627777e-46,3.316066518273650517e-43,1.041389132475938532e-43,2.594865667485429302e-42,-2.740734024319777674e-40
6.874999999999999601e-04,-4.802130380083102958e-49,-7.471420288352828828e-47,-7.284223529624326040e-44,-3.550937284420291797e-44,-8.163741795826370829e-43,-5.718929245940850132e-42
